"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
8.08286478694267e-05,0.641856718110359,0.775,0.502,1,"MIS18BP1"
8.17563020634411e-05,-0.714335880250897,0.254,0.354,1,"HAMP"
8.62281354716754e-05,0.765029748673698,0.81,0.521,1,"TKT"
9.16550730568588e-05,0.71558550026426,0.69,0.434,1,"WTAP"
9.20998982145311e-05,0.784067020080821,0.866,0.559,1,"GLIPR1"
9.34130973383752e-05,0.960244324842084,0.563,0.296,1,"DPYD"
9.68266582964296e-05,0.658634936641206,0.93,0.662,1,"SEC11A"
0.000103621445171418,0.953055648695325,0.655,0.38,1,"CARD16"
0.000113787453561675,0.957480099566808,0.746,0.439,1,"RPS6KA3"
0.00011392631628839,0.58520196094677,0.951,0.716,1,"IL1B"
0.000124309289517366,0.77324869533968,0.634,0.35,1,"BCL2"
0.000125115491579291,-0.684256423128047,0.81,0.815,1,"BTG2"
0.00013384679233103,0.600032382609328,0.937,0.667,1,"PLEK"
0.000147723183098705,1.57936468468624,0.331,0.122,1,"FAM198B"
0.000148008620521489,1.54168309575912,0.296,0.16,1,"SLC16A10"
0.000156156182940934,1.08047905678769,0.493,0.293,1,"NAF1"
0.000175231219501426,0.810091076987652,0.845,0.521,1,"EFHD2"
0.00017877718094199,-0.557238759538598,0.394,0.3,1,"CX3CR1"
0.000185411836297584,-0.527930190251981,0.437,0.423,1,"BIN1"
0.000185579577155338,0.841240596986529,0.831,0.596,1,"PRELID1"
0.000196484283683041,0.668528516337542,0.838,0.613,1,"MAP3K8"
0.000197258419760727,0.970745946123889,0.62,0.378,1,"RCC2"
0.000209628580010304,0.805182331501512,0.458,0.305,1,"CXCL2"
0.000216925288865578,0.708133277566274,0.859,0.549,1,"CLEC7A"
0.000222537480539491,1.67515150378823,0.275,0.087,1,"SH3PXD2B"
0.000231815282214673,0.778412265295692,0.704,0.434,1,"MXD1"
0.000235703531150934,0.590749422479787,0.965,0.751,1,"RAC1"
0.000241786734508759,0.548142789549773,0.852,0.542,1,"RNASE6"
0.000243792601831126,0.580639660602084,0.775,0.481,1,"ANKRD44"
0.000246758809143055,0.767561662047773,0.873,0.566,1,"OGFRL1"
0.000253800214711851,0.507598411354931,0.761,0.479,1,"OLR1"
0.000278269137686187,1.36374640806106,0.261,0.089,1,"CFP"
0.000285050844309781,-0.877362316411314,0.296,0.352,1,"TRAPPC2L"
0.000289859662131367,0.867151824573498,0.655,0.371,1,"ZFYVE16"
0.000300239503712652,1.50758880848978,0.352,0.129,1,"RTN1"
0.00030140886345911,0.801114042163448,0.57,0.322,1,"MAN1A1"
0.000316922389980858,0.651811375650065,0.845,0.617,1,"CHMP1B"
0.000333710038585543,1.33621632953384,0.331,0.192,1,"CXCL3"
0.000350080394634642,0.732196585726995,0.866,0.575,1,"TAOK3"
0.000388447719394023,0.525965882087309,0.704,0.563,1,"CD163"
0.000416697944430993,1.05976968583535,0.627,0.34,1,"EPB41L3"
0.000424775094221776,0.836887840863821,0.599,0.319,1,"STK38L"
0.000436017219509941,0.857989812315362,0.697,0.446,1,"MAFF"
0.000437829647373599,0.766614448087103,0.648,0.369,1,"PRMT9"
